Chromosome,Arm,Band,Abnormality,MorphName,Morph,TopoName,Topo,CaseCount,Gene,Type
1,p,11,add(1)(p11),"Acute myeloid leukemia, NOS",1101,,,4,,U
1,p,11,add(1)(p11),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,2,,U
1,p,11,add(1)(p11),Acute monoblastic leukemia (FAB type M5),1108,,,2,,U
1,p,12,add(1)(p12),Acute erythroleukemia (FAB type M6),1112,,,2,,U
1,p,13,add(1)(p13),"Acute myeloid leukemia, NOS",1101,,,14,,U
1,p,13,add(1)(p13),Acute erythroleukemia (FAB type M6),1112,,,2,,U
1,p,13,add(1)(p13),Acute megakaryoblastic leukemia (FAB type M7),1113,,,3,,U
1,p,21,add(1)(p21),"Acute myeloid leukemia, NOS",1101,,,5,,U
1,p,22,add(1)(p22),"Acute myeloid leukemia, NOS",1101,,,5,,U
1,p,22,add(1)(p22),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,4,,U
1,p,32,add(1)(p32),"Acute myeloid leukemia, NOS",1101,,,6,,U
1,p,32,add(1)(p32),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,3,,U
1,p,32,add(1)(p32),Acute erythroleukemia (FAB type M6),1112,,,2,,U
1,p,34,add(1)(p34),"Acute myeloid leukemia, NOS",1101,,,6,,U
1,p,35,add(1)(p35),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,2,,U
1,p,36,add(1)(p36),"Acute myeloid leukemia, NOS",1101,,,32,,U
1,p,36,add(1)(p36),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,3,,U
1,p,36,add(1)(p36),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,7,,U
1,p,36,add(1)(p36),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,14,,U
1,p,36,add(1)(p36),Acute promyelocytic leukemia (FAB type M3),1106,,,5,,U
1,p,36,add(1)(p36),Acute myelomonocytic leukemia (FAB type M4),1107,,,4,,U
1,p,36,add(1)(p36),Acute monoblastic leukemia (FAB type M5),1108,,,2,,U
1,p,36,add(1)(p36),Acute monoblastic leukemia without differentiation (FAB type M5a),1109,,,3,,U
1,p,36,add(1)(p36),Acute erythroleukemia (FAB type M6),1112,,,5,,U
1,p,36,add(1)(p36),Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
1,q,11,add(1)(q11),Acute megakaryoblastic leukemia (FAB type M7),1113,,,3,,U
1,q,12,add(1)(q12),"Acute myeloid leukemia, NOS",1101,,,4,,U
1,q,12,add(1)(q12),Acute erythroleukemia (FAB type M6),1112,,,2,,U
1,q,21,add(1)(q21),"Acute myeloid leukemia, NOS",1101,,,14,,U
1,q,21,add(1)(q21),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,2,,U
1,q,21,add(1)(q21),Acute promyelocytic leukemia (FAB type M3),1106,,,2,,U
1,q,21,add(1)(q21),Acute erythroleukemia (FAB type M6),1112,,,2,,U
1,q,24,add(1)(q24),"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,32,add(1)(q32),"Acute myeloid leukemia, NOS",1101,,,7,,U
1,q,32,add(1)(q32),Acute erythroleukemia (FAB type M6),1112,,,3,,U
1,q,32,add(1)(q32),Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
1,q,42,add(1)(q42),"Acute myeloid leukemia, NOS",1101,,,3,,U
1,q,44,add(1)(q44),"Acute myeloid leukemia, NOS",1101,,,3,,U
1,q,44,add(1)(q44),Acute megakaryoblastic leukemia (FAB type M7),1113,,,4,,U
10,p,11,add(10)(p11),"Acute myeloid leukemia, NOS",1101,,,10,,U
10,p,11,add(10)(p11),Acute monoblastic leukemia (FAB type M5),1108,,,2,,U
10,p,13,add(10)(p13),"Acute myeloid leukemia, NOS",1101,,,9,,U
10,p,13,add(10)(p13),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
10,p,13,add(10)(p13),Acute myelomonocytic leukemia (FAB type M4),1107,,,2,,U
10,p,13,add(10)(p13),Acute monoblastic leukemia (FAB type M5),1108,,,2,,U
10,p,15,add(10)(p15),"Acute myeloid leukemia, NOS",1101,,,2,,U
10,p,15,add(10)(p15),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
10,p,15,add(10)(p15),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,2,,U
10,q,22,add(10)(q22),"Acute myeloid leukemia, NOS",1101,,,8,,U
10,q,22,add(10)(q22),Acute erythroleukemia (FAB type M6),1112,,,3,,U
10,q,22,add(10)(q22),Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
10,q,24,add(10)(q24),"Acute myeloid leukemia, NOS",1101,,,3,,U
10,q,25,add(10)(q25),"Acute myeloid leukemia, NOS",1101,,,2,,U
10,q,26,add(10)(q26),"Acute myeloid leukemia, NOS",1101,,,6,,U
10,q,26,add(10)(q26),Acute promyelocytic leukemia (FAB type M3),1106,,,2,,U
10,q,26,add(10)(q26),Acute erythroleukemia (FAB type M6),1112,,,2,,U
10,q,26,add(10)(q26),Acute megakaryoblastic leukemia (FAB type M7),1113,,,3,,U
11,p,11,add(11)(p11),"Acute myeloid leukemia, NOS",1101,,,22,,U
11,p,11,add(11)(p11),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,6,,U
11,p,11,add(11)(p11),Acute monoblastic leukemia (FAB type M5),1108,,,2,,U
11,p,11,add(11)(p11),Acute erythroleukemia (FAB type M6),1112,,,4,,U
11,p,11,add(11)(p11),Acute megakaryoblastic leukemia (FAB type M7),1113,,,5,,U
11,p,12,add(11)(p12),"Acute myeloid leukemia, NOS",1101,,,5,,U
11,p,13,add(11)(p13),"Acute myeloid leukemia, NOS",1101,,,8,,U
11,p,13,add(11)(p13),Acute monoblastic leukemia (FAB type M5),1108,,,2,,U
11,p,14,add(11)(p14),"Acute myeloid leukemia, NOS",1101,,,2,,U
11,p,15,add(11)(p15),"Acute myeloid leukemia, NOS",1101,,,35,NUP98+,U
11,p,15,add(11)(p15),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,3,,U
11,p,15,add(11)(p15),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,3,,U
11,p,15,add(11)(p15),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,5,,U
11,p,15,add(11)(p15),Acute myelomonocytic leukemia (FAB type M4),1107,,,7,,U
11,p,15,add(11)(p15),Acute monoblastic leukemia without differentiation (FAB type M5a),1109,,,2,,U
11,p,15,add(11)(p15),Acute erythroleukemia (FAB type M6),1112,,,9,,U
11,p,15,add(11)(p15),Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
11,q,13,add(11)(q13),"Acute myeloid leukemia, NOS",1101,,,10,,U
11,q,13,add(11)(q13),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
11,q,13,add(11)(q13),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,2,,U
11,q,13,add(11)(q13),Acute erythroleukemia (FAB type M6),1112,,,2,,U
11,q,13,add(11)(q13),Acute megakaryoblastic leukemia (FAB type M7),1113,,,4,,U
11,q,14,add(11)(q14),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,3,,U
11,q,21,add(11)(q21),"Acute myeloid leukemia, NOS",1101,,,4,,U
11,q,21,add(11)(q21),Acute erythroleukemia (FAB type M6),1112,,,3,,U
11,q,21,add(11)(q21),Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
11,q,22,add(11)(q22),"Acute myeloid leukemia, NOS",1101,,,3,,U
11,q,22,add(11)(q22),Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
11,q,23,add(11)(q23),"Acute myeloid leukemia, NOS",1101,,,48,"+KMT2A,KMT2A+",U
11,q,23,add(11)(q23),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,5,,U
11,q,23,add(11)(q23),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,5,,U
11,q,23,add(11)(q23),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,10,KMT2A+,U
11,q,23,add(11)(q23),Acute myelomonocytic leukemia (FAB type M4),1107,,,12,,U
11,q,23,add(11)(q23),Acute monoblastic leukemia (FAB type M5),1108,,,9,KMT2A+,U
11,q,23,add(11)(q23),Acute monoblastic leukemia without differentiation (FAB type M5a),1109,,,5,KMT2A+,U
11,q,23,add(11)(q23),Acute monoblastic leukemia with differentiation (FAB type M5b),1110,,,3,KMT2A+,U
11,q,23,add(11)(q23),Acute erythroleukemia (FAB type M6),1112,,,5,,U
11,q,23,add(11)(q23),Acute megakaryoblastic leukemia (FAB type M7),1113,,,3,,U
11,q,24,add(11)(q24),"Acute myeloid leukemia, NOS",1101,,,4,,U
11,q,24,add(11)(q24),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
11,q,24,add(11)(q24),Acute myelomonocytic leukemia (FAB type M4),1107,,,3,,U
11,q,25,add(11)(q25),"Acute myeloid leukemia, NOS",1101,,,10,,U
11,q,25,add(11)(q25),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,3,,U
11,q,25,add(11)(q25),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,3,,U
11,q,25,add(11)(q25),Acute monoblastic leukemia (FAB type M5),1108,,,2,,U
12,p,11,add(12)(p11),"Acute myeloid leukemia, NOS",1101,,,55,,U
12,p,11,add(12)(p11),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,2,,U
12,p,11,add(12)(p11),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,3,,U
12,p,11,add(12)(p11),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,4,,U
12,p,11,add(12)(p11),Acute myelomonocytic leukemia (FAB type M4),1107,,,2,,U
12,p,11,add(12)(p11),Acute erythroleukemia (FAB type M6),1112,,,7,,U
12,p,11,add(12)(p11),Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
12,p,11,add(12)(p11),"Acute myeloid leukemia, special type",1199,,,2,,U
12,p,12,add(12)(p12),"Acute myeloid leukemia, NOS",1101,,,20,,U
12,p,12,add(12)(p12),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,2,,U
12,p,12,add(12)(p12),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,3,,U
12,p,12,add(12)(p12),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,6,,U
12,p,12,add(12)(p12),Acute erythroleukemia (FAB type M6),1112,,,2,,U
12,p,13,add(12)(p13),"Acute myeloid leukemia, NOS",1101,,,40,ETV6+,U
12,p,13,add(12)(p13),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,5,,U
12,p,13,add(12)(p13),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,6,,U
12,p,13,add(12)(p13),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,10,,U
12,p,13,add(12)(p13),Acute promyelocytic leukemia (FAB type M3),1106,,,4,,U
12,p,13,add(12)(p13),Acute myelomonocytic leukemia (FAB type M4),1107,,,5,,U
12,p,13,add(12)(p13),Acute monoblastic leukemia (FAB type M5),1108,,,3,,U
12,p,13,add(12)(p13),Acute erythroleukemia (FAB type M6),1112,,,6,,U
12,p,13,add(12)(p13),Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
12,q,13,add(12)(q13),"Acute myeloid leukemia, NOS",1101,,,8,,U
12,q,13,add(12)(q13),Acute erythroleukemia (FAB type M6),1112,,,3,,U
12,q,15,add(12)(q15),"Acute myeloid leukemia, NOS",1101,,,2,,U
12,q,22,add(12)(q22),"Acute myeloid leukemia, NOS",1101,,,2,,U
12,q,24,add(12)(q24),"Acute myeloid leukemia, NOS",1101,,,19,,U
12,q,24,add(12)(q24),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,3,,U
12,q,24,add(12)(q24),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,3,,U
12,q,24,add(12)(q24),Acute monoblastic leukemia (FAB type M5),1108,,,3,,U
12,q,24,add(12)(q24),Acute erythroleukemia (FAB type M6),1112,,,3,,U
12,q,24,add(12)(q24),Acute megakaryoblastic leukemia (FAB type M7),1113,,,3,,U
13,p,11,add(13)(p11),"Acute myeloid leukemia, NOS",1101,,,25,,U
13,p,11,add(13)(p11),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,3,,U
13,p,11,add(13)(p11),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,3,,U
13,p,11,add(13)(p11),Acute myelomonocytic leukemia (FAB type M4),1107,,,5,,U
13,p,11,add(13)(p11),Acute monoblastic leukemia without differentiation (FAB type M5a),1109,,,2,,U
13,p,11,add(13)(p11),Acute monoblastic leukemia with differentiation (FAB type M5b),1110,,,2,,U
13,p,11,add(13)(p11),Acute erythroleukemia (FAB type M6),1112,,,5,,U
13,p,12,add(13)(p12),"Acute myeloid leukemia, NOS",1101,,,3,,U
13,p,13,add(13)(p13),"Acute myeloid leukemia, NOS",1101,,,3,,U
13,p,13,add(13)(p13),Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
13,q,12,add(13)(q12),"Acute myeloid leukemia, NOS",1101,,,3,,U
13,q,14,add(13)(q14),Acute erythroleukemia (FAB type M6),1112,,,2,,U
13,q,22,add(13)(q22),"Acute myeloid leukemia, NOS",1101,,,2,,U
13,q,32,add(13)(q32),"Acute myeloid leukemia, NOS",1101,,,4,,U
13,q,32,add(13)(q32),Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
13,q,34,add(13)(q34),"Acute myeloid leukemia, NOS",1101,,,9,,U
13,q,34,add(13)(q34),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,2,,U
13,q,34,add(13)(q34),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
13,q,34,add(13)(q34),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,2,,U
13,q,34,add(13)(q34),Acute erythroleukemia (FAB type M6),1112,,,2,,U
14,p,11,add(14)(p11),"Acute myeloid leukemia, NOS",1101,,,22,,U
14,p,11,add(14)(p11),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,3,,U
14,p,11,add(14)(p11),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,3,,U
